id,department,name,type,address,coordinates,lat-y,long-x,phone,fax,county,notes
1,Bald Head Island Fire & Rescue,Bald Head VFD,Volunteer Fire Department,"251 Edward Teach Wynd, Bald Head Island, NC 28461","33.858588, -77.985895",33.858588,-77.985895,457-5252,457-4585,Brunswick,
2,"Boiling Spring Lakes Volunteer Fire Department, HQ, Station 4","BSL VFD HQ, Sta 4",Volunteer Fire Department,"3059 George II Hwy, Southport, NC 28461","34.031850, -78.068170 ",34.03185,-78.06817,845-2818,845-2878,Brunswick,Headquarters Building
3,"Boiling Spring Lakes Volunteer Fire Department, Station 1","BSL VFD, Sta 1",Volunteer Fire Department,"25 Miller Rd., Southport, NC 28461","34.032250, -78.067602",34.03225,-78.067602,,,Brunswick,"Engine 471, Brush 478, Service 485, Tanker 477, Boiling Spring Lakes Fire District"
4,"Boiling Spring Lakes Volunteer Fire Department, Station 2","BSL VFD, Sta 2",Volunteer Fire Department,"2440 Frink Lake Dr., Southport, NC 28461","34.064642, -78.031360",34.064642,-78.03136,,,Brunswick,"Engine 472, Tanker 475"
5,"Boiling Spring Lakes Volunteer Fire Department, Station 3","BSL VFD, Sta 3",Volunteer Fire Department,"900 Fifty Lakes Dr., Southport, NC 28461","34.028629, -78.035526",34.028629,-78.035526,,,Brunswick,"Engine 472, Tanker 475, Tanker 476, Brush 479, Service 481, Boat 490, Command 480"
6,Bolivia Fire Department,Boliva FD,Fire Department,"3848 Old Ocean Hwy, Bolivia, NC 28422","34.065679, -78.149352",34.065679,-78.149352,253-5025,253-3476,Brunswick,
7,"Bolivia Volunteer Fire Department, Station 7",Boliva VFD,Volunteer Fire Department,"119 Green Lewis Rd. SE, Bolivia, NC 28422","34.064219, -78.144960",34.064219,-78.14496,,,Brunswick,
8,Calabash Volunteer Fire Department Station 12-1,Calabash VFD Sta 12-1,Volunteer Fire Department,"892 Persimmon Rd., Calabash, NC 28467","33.892987, -78.566238",33.892987,-78.566238,579-2355,579-5024,Brunswick,
9,Calabash Volunteer Fire Department Station 12-2,Calabash VFD Sta 12-2,Volunteer Fire Department,"8995 Number 5 School Rd NW, Calabash, NC 28467","33.953621, -78.575031",33.953621,-78.575031,,,Brunswick,
10,Civietown Volunteer Fire Department,Civietown VFD,Volunteer Fire Department,"2227 Civietown Rd. SW, Supply, NC 28462","33.967662, -78.328341",33.967662,-78.328341,754-8392,755-8012,Brunswick,
